date,sales
2025-12-01,120
2025-12-02,115
2025-12-03,118
2025-12-04,122
2025-12-05,125
2025-12-06,98
2025-12-07,95
2025-12-08,130
2025-12-09,128
2025-12-10,135
2025-12-11,140
2025-12-12,142
2025-12-13,110
2025-12-14,105
2025-12-15,145
2025-12-16,150
2025-12-17,148
2025-12-18,155
2025-12-19,160
2025-12-20,125
2025-12-21,120
2025-12-22,165
2025-12-23,170
2025-12-24,175
2025-12-25,180
2025-12-26,178
2025-12-27,140
2025-12-28,135
2025-12-29,185
2025-12-30,190
2025-12-31,195
2026-01-01,200
2026-01-02,145
2026-01-03,140
2026-01-04,150
2026-01-05,155
2026-01-06,160
2026-01-07,165
2026-01-08,125
2026-01-09,120
2026-01-10,170
2026-01-11,175
2026-01-12,180
2026-01-13,185
2026-01-14,188
2026-01-15,145
2026-01-16,140
2026-01-17,190
2026-01-18,195
2026-01-19,200
2026-01-20,205
2026-01-21,210
2026-01-22,160
2026-01-23,155
2026-01-24,215
2026-01-25,220
2026-01-26,225
2026-01-27,230
2026-01-28,175
2026-01-29,170
2026-01-30,235
2026-01-31,240
2026-02-01,180
2026-02-02,175
2026-02-03,170
2026-02-04,165
2026-02-05,160
2026-02-06,155
2026-02-07,150
2026-02-08,120
2026-02-09,115
2026-02-10,145
2026-02-11,140
2026-02-12,135
2026-02-13,130
2026-02-14,125
2026-02-15,100
2026-02-16,95
2026-02-17,120
2026-02-18,115
2026-02-19,110
2026-02-20,105
2026-02-21,100
2026-02-22,85
2026-02-23,80
2026-02-24,110
2026-02-25,105
2026-02-26,100
2026-02-27,95
2026-02-28,90
2026-03-01,130
2026-03-02,125
2026-03-03,135
2026-03-04,140
2026-03-05,145
2026-03-06,150
2026-03-07,155
2026-03-08,120
2026-03-09,118
2026-03-10,160
2026-03-11,165
2026-03-12,170
2026-03-13,175
2026-03-14,180
2026-03-15,140
2026-03-16,138
